Name,Out Datetime,In Datetime,Voltage (kV),Duration (minutes),Outage Type,Cause,year
Napavine-Chehalis Power No 2 500kV line,01/05/2012 16:21,01/05/2012 20:49,500.0,268,Auto,Other,2012
Napavine-Chehalis Power No 3 500kV line,01/05/2012 16:21,01/05/2012 20:49,500.0,268,Auto,Other,2012
Napavine-Chehalis Power No 1 500kV line,01/05/2012 16:21,01/08/2012 19:33,500.0,4512,Auto,Other,2012
Big Eddy-Celilo No 1 500kV line,01/06/2012 17:39,01/06/2012 19:16,500.0,97,Auto,Other,2012
Big Eddy-Celilo No 3 230kV line,01/06/2012 17:39,01/13/2012 16:21,230.0,10002,Auto,Other,2012
Celilo-Sylmar Pole No 3 1000kV line,01/06/2012 17:39,01/06/2012 18:58,1000.0,79,Auto,Other,2012
Converter 1 tap to Celilo-Sylmar Pole No 3 1000kV line,01/06/2012 17:39,01/06/2012 18:58,1000.0,79,Auto,Other,2012
Converter 3 tap to Celilo-Sylmar Pole No 3 1000kV line,01/06/2012 17:39,01/06/2012 18:58,1000.0,79,Auto,Other,2012
Valve Group 1 tap to Celilo-Sylmar Pole No 3 1000kV line,01/06/2012 17:39,01/06/2012 18:58,1000.0,79,Auto,Other,2012
Valve Group 3 tap to Celilo-Sylmar Pole No 3 1000kV line,01/06/2012 17:39,01/06/2012 18:58,1000.0,79,Auto,Other,2012
Valve Group 5 tap to Celilo-Sylmar Pole No 3 1000kV line,01/06/2012 17:39,01/06/2012 18:58,1000.0,79,Auto,Other,2012
Valve Group 7 tap to Celilo-Sylmar Pole No 3 1000kV line,01/06/2012 17:39,01/06/2012 18:58,1000.0,79,Auto,Other,2012
McNary-Coyote Springs No 1 500kV line,01/07/2012 07:13,01/07/2012 07:14,500.0,1,Auto,Unknown,2012
Chief Joseph PH-Chief Joseph No 6 500kV line,01/11/2012 12:59,01/11/2012 13:13,500.0,14,Auto,Other,2012
Bellingham-PSE Bellingham No 2 115kV line,01/17/2012 03:38,01/17/2012 11:38,115.0,480,Auto,Other,2012
Ross-Lexington No 1 230kV line,01/17/2012 23:14,01/17/2012 23:17,230.0,3,Auto,Unknown,2012
Woodland-Lexington section of Ross-Lexington No 1 230kV line,01/17/2012 23:14,01/17/2012 23:17,230.0,3,Auto,Unknown,2012
Carlton-Tillamook No 1 230kV line,01/18/2012 01:05,01/18/2012 01:06,230.0,1,Auto,Wind,2012
Ross-Lexington No 1 230kV line,01/18/2012 04:12,01/18/2012 07:08,230.0,176,Auto,Other,2012
Ross-Woodland section of Ross-Lexington No 1 230kV line,01/18/2012 04:12,01/18/2012 07:08,230.0,176,Auto,Other,2012
Swift tap to Ross-Lexington No 1 230kV line,01/18/2012 04:12,01/18/2012 12:00,230.0,468,Auto,Other,2012
Woodland-Lexington section of Ross-Lexington No 1 230kV line,01/18/2012 04:12,01/18/2012 07:08,230.0,176,Auto,Other,2012
Carlton-Tillamook No 1 230kV line,01/18/2012 06:10,01/20/2012 13:36,230.0,3326,Auto,Wind,2012
Forest Grove-Thatcher Junction section of Forest Grove-Tillamook No 1 115kV line,01/18/2012 07:42,01/18/2012 07:43,115.0,1,Auto,Wind,2012
Forest Grove-Tillamook No 1 115kV line,01/18/2012 07:42,01/18/2012 10:10,115.0,148,Auto,Wind,2012
South Fork tap to Forest Grove-Tillamook No 1 115kV line,01/18/2012 07:42,01/18/2012 07:44,115.0,2,Auto,Wind,2012
South Fork-Tillamook section of Forest Grove-Tillamook No 1 115kV line,01/18/2012 07:42,01/18/2012 07:44,115.0,2,Auto,Wind,2012
Thatcher Junction tap to Forest Grove-Tillamook No 1 115kV line,01/18/2012 07:42,01/18/2012 07:43,115.0,1,Auto,Wind,2012
Thatcher Junction-Timber section of Forest Grove-Tillamook No 1 115kV line,01/18/2012 07:42,01/18/2012 10:10,115.0,148,Auto,Wind,2012
Timber tap to Forest Grove-Tillamook No 1 115kV line,01/18/2012 07:42,01/18/2012 16:19,115.0,517,Auto,Wind,2012
Timber-South Fork section of Forest Grove-Tillamook No 1 115kV line,01/18/2012 07:42,01/18/2012 10:10,115.0,148,Auto,Wind,2012
John Day-Grizzly No 2 500kV line,01/18/2012 08:33,01/18/2012 08:37,500.0,4,Auto,Unknown,2012
Slatt-John Day No 1 500kV line,01/18/2012 08:33,01/18/2012 08:37,500.0,4,Auto,Other,2012
Holcomb-Naselle No 1 115kV line,01/18/2012 08:39,01/19/2012 16:53,115.0,1934,Auto,Weather,2012
Holcomb-Oxbow section of Holcomb-Naselle No 1 115kV line,01/18/2012 08:39,01/18/2012 09:29,115.0,50,Auto,Weather,2012
Oxbow-Naselle section of Holcomb-Naselle No 1 115kV line,01/18/2012 08:39,01/19/2012 16:53,115.0,1934,Auto,Weather,2012
Beaver tap to Boyer-Tillamook No 1 115kV line,01/18/2012 09:19,01/18/2012 09:45,115.0,26,Auto,Other,2012
Beaver-Tillamook section of Boyer-Tillamook No 1 115kV line,01/18/2012 09:19,01/18/2012 09:45,115.0,26,Auto,Other,2012
Boyer-Nestucca section of Boyer-Tillamook No 1 115kV line,01/18/2012 09:19,01/18/2012 09:45,115.0,26,Auto,Other,2012
Boyer-Tillamook No 1 115kV line,01/18/2012 09:19,01/18/2012 09:45,115.0,26,Auto,Other,2012
Hebo tap to Boyer-Tillamook No 1 115kV line,01/18/2012 09:19,01/18/2012 09:45,115.0,26,Auto,Other,2012
Hebo-Beaver section of Boyer-Tillamook No 1 115kV line,01/18/2012 09:19,01/18/2012 09:45,115.0,26,Auto,Other,2012
Nestucca-Hebo section of Boyer-Tillamook No 1 115kV line,01/18/2012 09:19,01/18/2012 09:45,115.0,26,Auto,Other,2012
"Canyon-LaGrande No 1,2 115kV lines",01/18/2012 18:03,01/19/2012 03:00,115.0,537,Auto,Other,2012
"Lynch Creek tap to Canyon-LaGrande No 1,2 115kV lines",01/18/2012 18:03,01/19/2012 03:00,115.0,537,Auto,Other,2012
"Canyon-LaGrande No 1,2 115kV lines",01/19/2012 05:54,01/19/2012 09:35,115.0,221,Auto,Other,2012
"Lynch Creek tap to Canyon-LaGrande No 1,2 115kV lines",01/19/2012 05:54,01/19/2012 09:35,115.0,221,Auto,Other,2012
Berrydale tap to Wendson-Tahkenitch No 1 115kV line,01/19/2012 09:01,01/19/2012 09:07,115.0,6,Auto,Other,2012
Berrydale-Tahkenitch section of Wendson-Tahkenitch No 1 115kV line,01/19/2012 09:01,01/19/2012 09:07,115.0,6,Auto,Other,2012
Wendson-Berrydale section of Wendson-Tahkenitch No 1 115kV line,01/19/2012 09:01,01/19/2012 09:07,115.0,6,Auto,Other,2012
Wendson-Tahkenitch No 1 115kV line,01/19/2012 09:01,01/19/2012 09:07,115.0,6,Auto,Other,2012
Chehalis-Pe Ell section of Chehalis-Raymond No 1 115kV line,01/19/2012 10:11,01/19/2012 17:31,115.0,440,Auto,Tree Blown,2012
Chehalis-Raymond No 1 115kV line,01/19/2012 10:11,01/19/2012 17:31,115.0,440,Auto,Tree Blown,2012
Holcomb tap to Chehalis-Raymond No 1 115kV line,01/19/2012 10:11,01/19/2012 10:24,115.0,13,Auto,Tree Blown,2012
Holcomb-Raymond section of Chehalis-Raymond No 1 115kV line,01/19/2012 10:11,01/19/2012 10:24,115.0,13,Auto,Tree Blown,2012
Pe Ell tap to Chehalis-Raymond No 1 115kV line,01/19/2012 10:11,01/19/2012 12:11,115.0,120,Auto,Tree Blown,2012
Pe Ell-Holcomb section of Chehalis-Raymond No 1 115kV line,01/19/2012 10:11,01/19/2012 12:11,115.0,120,Auto,Tree Blown,2012
Holcomb-Naselle No 1 115kV line,01/19/2012 10:11,01/19/2012 10:24,115.0,13,Auto,Other,2012
Holcomb-Oxbow section of Holcomb-Naselle No 1 115kV line,01/19/2012 10:11,01/19/2012 10:24,115.0,13,Auto,Other,2012
McNary-B-1345 section of McNary-Badger Canyon No 1 115kV line,01/19/2012 11:05,01/19/2012 11:07,115.0,2,Auto,Unknown,2012
McNary-Badger Canyon No 1 115kV line,01/19/2012 11:05,01/19/2012 11:07,115.0,2,Auto,Unknown,2012
B-1345-B-1605 section of McNary-Badger Canyon No 1 115kV line,01/19/2012 11:09,01/19/2012 11:14,115.0,5,Auto,Weather,2012
Berrian tap to McNary-Badger Canyon No 1 115kV line,01/19/2012 11:09,01/19/2012 11:14,115.0,5,Auto,Weather,2012
Berrian-H2F section of McNary-Badger Canyon No 1 115kV line,01/19/2012 11:09,01/19/2012 11:14,115.0,5,Auto,Weather,2012
H2F tap to McNary-Badger Canyon No 1 115kV line,01/19/2012 11:09,01/19/2012 11:14,115.0,5,Auto,Weather,2012
H2F-Nine Canyon section of McNary-Badger Canyon No 1 115kV line,01/19/2012 11:09,01/19/2012 11:14,115.0,5,Auto,Weather,2012
