Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,year,Month,Alert Criteria,Event Month,dt_begin,dt_restore,duration_minutes
2012-01-11 00:00:00,07:19:00,2012-01-11 00:00:00,09:07:00,Nevada,WECC,Suspected Physical Attack,0,0,2012,,,,2012-01-11 07:19:00,2012-01-11 09:07:00,108.0
2012-01-19 00:00:00,07:00:00,2012-01-20 00:00:00,15:00:00,"King, Pierce and Thurston Counties, Washington",WECC,Severe Weather - Winter Storm,1600,426000,2012,,,,2012-01-19 07:00:00,2012-01-20 15:00:00,1920.0
2012-02-11 00:00:00,08:47:00,2012-02-11 00:00:00,10:30:00,"Lamar, Colorado",WECC,Suspected Physical Attack,0,0,2012,,,,2012-02-11 08:47:00,2012-02-11 10:30:00,103.0
2012-02-14 00:00:00,19:20:00,2012-02-15 00:00:00,16:00:00,"Tacoma, Washington",WECC,Suspected Physical Attack,,,2012,,,,2012-02-14 19:20:00,2012-02-15 16:00:00,1240.0
2012-02-15 00:00:00,05:33:00,2012-02-15 00:00:00,17:30:00,"Port Orchard, Washington",WECC,Suspected Physical Attack,0,0,2012,,,,2012-02-15 05:33:00,2012-02-15 17:30:00,717.0
2012-02-24 00:00:00,11:24:00,2012-02-24 00:00:00,11:49:00,"Spanaway, Washington",WECC,Suspected Physical Attack,,,2012,,,,2012-02-24 11:24:00,2012-02-24 11:49:00,25.0
2012-02-28 00:00:00,02:59:00,2012-02-28 00:00:00,06:12:00,"Sacramento, California",WECC,Electrical System Separation (Islanding),1,1,2012,,,,2012-02-28 02:59:00,2012-02-28 06:12:00,193.0
2012-04-03 00:00:00,15:33:00,2012-04-03 00:00:00,20:25:00,"Seattle, Washington",WECC,Physical Attack,0,0,2012,,,,2012-04-03 15:33:00,2012-04-03 20:25:00,292.0
2012-04-04 00:00:00,15:32:00,2012-04-06 00:00:00,15:30:00,"WAPA-SNR Regional Office, California",WECC,Suspected Physical Attack,,,2012,,,,2012-04-04 15:32:00,2012-04-06 15:30:00,2878.0
2012-04-12 00:00:00,08:08:00,2012-04-12 00:00:00,16:30:00,"Tacoma, Washington",WECC,Suspected Physical Attack,,,2012,,,,2012-04-12 08:08:00,2012-04-12 16:30:00,502.0
2012-04-17 00:00:00,06:11:00,2012-04-17 00:00:00,17:48:00,"San Diego County, California",WECC,Suspected Physical Attack,0,0,2012,,,,2012-04-17 06:11:00,2012-04-17 17:48:00,697.0
2012-04-19 00:00:00,07:53:00,2012-04-19 00:00:00,16:00:00,"Tacoma, Washington",WECC,Suspected Physical Attack,,,2012,,,,2012-04-19 07:53:00,2012-04-19 16:00:00,487.0
2012-04-21 00:00:00,20:55:00,2012-04-23 00:00:00,16:30:00,"Tacoma, Washington",WECC,Suspected Physical Attack,,,2012,,,,2012-04-21 20:55:00,2012-04-23 16:30:00,2615.0
2012-04-23 00:00:00,11:56:00,2012-04-23 00:00:00,15:35:00,"Snohomish County, Washington",WECC,Suspected Physical Attack,,,2012,,,,2012-04-23 11:56:00,2012-04-23 15:35:00,219.0
2012-05-11 00:00:00,11:05:00,2012-05-11 00:00:00,11:20:00,"Lakewood, Washington",WECC,Vandalism,,,2012,,,,2012-05-11 11:05:00,2012-05-11 11:20:00,15.0
2012-05-29 00:00:00,18:30:00,2012-05-29 00:00:00,19:40:00,"Alder Dam, Pierce County, Washington",WECC,Physical Attack,,,2012,,,,2012-05-29 18:30:00,2012-05-29 19:40:00,70.0
2012-06-02 00:00:00,07:30:00,2012-06-02 00:00:00,11:35:00,"San Francisco, California",WECC,Vandalism,,,2012,,,,2012-06-02 07:30:00,2012-06-02 11:35:00,245.0
2012-06-08 00:00:00,17:20:00,2012-06-08 00:00:00,17:25:00,"Denver Metro Area, Colorado",WECC,Load Shed,120,30379,2012,,,,2012-06-08 17:20:00,2012-06-08 17:25:00,5.0
2012-06-13 00:00:00,16:55:00,2012-06-13 00:00:00,22:09:00,"San Juan County, New Mexico",WECC,Vandalism,0,0,2012,,,,2012-06-13 16:55:00,2012-06-13 22:09:00,314.0
2012-06-19 00:00:00,05:30:00,2012-06-21 00:00:00,05:30:00,CAISO Territory California,WECC,Fuel Supply Deficiency (Water),UNK,UNK,2012,,,,2012-06-19 05:30:00,2012-06-21 05:30:00,2880.0
2012-12-02 00:00:00,05:20:00,2012-12-04 00:00:00,09:00:00,Northern California,WECC,Severe Weather - Winter Storm,250,125000,2012,,,,2012-12-02 05:20:00,2012-12-04 09:00:00,3100.0
2012-12-03 00:00:00,12:02:00,2012-12-03 00:00:00,12:30:00,"Tacoma, Washington",WECC,Suspected Physical Attack,0,0,2012,,,,2012-12-03 12:02:00,2012-12-03 12:30:00,28.0
2012-12-06 00:00:00,21:18:00,2012-12-06 00:00:00,21:31:00,"Greater San Jose, California",WECC,Load Shed,390,Unknown,2012,,,,2012-12-06 21:18:00,2012-12-06 21:31:00,13.0
2012-12-17 00:00:00,06:55:00,2012-12-17 00:00:00,07:00:00,"Tacoma, Washington",WECC,Suspected Physical Attack,0,0,2012,,,,2012-12-17 06:55:00,2012-12-17 07:00:00,5.0
2013-01-16 00:00:00,16:45:00,2013-01-16 00:00:00,19:26:00,"San Juan County, New Mexico",WECC,Suspected Physical Attack,0,0,2013,,,,2013-01-16 16:45:00,2013-01-16 19:26:00,161.0
2013-01-28 00:00:00,16:46:00,2013-01-28 00:00:00,18:00:00,"Tacoma Narrows Crossing, Washington",WECC,Physical Attack,Unknown,Unknown,2013,,,,2013-01-28 16:46:00,2013-01-28 18:00:00,74.0
2013-02-02 00:00:00,21:15:00,2013-02-02 00:00:00,22:15:00,"El Paso, New Mexico",WECC,Vandalism,,,2013,,,,2013-02-02 21:15:00,2013-02-02 22:15:00,60.0
2013-02-09 00:00:00,08:30:00,2013-02-09 00:00:00,15:00:00,"El Paso, New Mexico",WECC,Vandalism; Equipment Fault,Unknown,Unknown,2013,,,,2013-02-09 08:30:00,2013-02-09 15:00:00,390.0
2013-02-19 00:00:00,16:01:00,2013-02-20 00:00:00,12:55:00,"Stockton, California",WECC,Electrical System Separation (Islanding),13850,6810,2013,,,,2013-02-19 16:01:00,2013-02-20 12:55:00,1254.0
2013-02-21 00:00:00,11:00:00,2013-02-21 00:00:00,11:30:00,"Las Cruces, New Mexico",WECC,Vandalism,Unknown,Unknown,2013,,,,2013-02-21 11:00:00,2013-02-21 11:30:00,30.0
2013-03-03 00:00:00,06:39:00,2013-03-03 00:00:00,10:29:00,"Merced County, California",WECC,Transmission System Interruption,300,58850,2013,,,,2013-03-03 06:39:00,2013-03-03 10:29:00,230.0
2013-04-03 00:00:00,11:05:00,2013-04-03 00:00:00,14:00:00,"Colorado Springs, Colorado",WECC,Sabotage; Vandalism,0,0,2013,,,,2013-04-03 11:05:00,2013-04-03 14:00:00,175.0
2013-04-16 00:00:00,01:47:00,2013-04-18 00:00:00,15:25:00,California,WECC,"Loss of Part of a High Voltage Substation, Physical Attack",,0,2013,,,,2013-04-16 01:47:00,2013-04-18 15:25:00,3698.0
2013-04-23 00:00:00,00:49:00,2013-04-23 00:00:00,04:04:00,"South of Humboldt, California",WECC,Electrical System Separation (Islanding),80,1,2013,,,,2013-04-23 00:49:00,2013-04-23 04:04:00,195.0
2013-04-25 00:00:00,16:00:00,2013-04-26 00:00:00,10:55:00,"Sunol, California",WECC,Vandalism,0,0,2013,,,,2013-04-25 16:00:00,2013-04-26 10:55:00,1135.0
2013-05-01 00:00:00,09:22:00,2013-05-01 00:00:00,09:24:00,Northeast Colorado ,WECC,Electrical System Separation (Islanding),123,35230,2013,,,,2013-05-01 09:22:00,2013-05-01 09:24:00,2.0
