Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,year,Month,Alert Criteria,Event Month
January  ,,,,,,,,,2012,,,
2012-01-04 00:00:00,12:14:00,2012-01-04 00:00:00,12:14:00,"Tacoma, Washington",WECC,Suspected physical attack,,,2012,,,
2012-01-05 00:00:00,10:35:00,2012-01-05 00:00:00,12:25:00,"CSWS/AEP West territory, Oklahoma",SPP,Sabotage,0,0,2012,,,
2012-01-05 00:00:00,10:28:00,2012-01-05 00:00:00,12:25:00,"Creek County, Oklahoma",SPP,Suspected physical attack,,,2012,,,
2012-01-09 00:00:00,14:30:00,2012-01-09 00:00:00,15:30:00,"Watertown, Connecticut",NPCC,Vandalism,,,2012,,,
2012-01-09 00:00:00,13:36:00,2012-01-11 00:00:00,01:05:00,Louisiana,SERC,Load Shed,150,1,2012,,,
2012-01-10 00:00:00,21:30:00,2012-01-10 00:00:00,21:30:00,"Rusk County, Texas",TRE,Load Shed,,,2012,,,
2012-01-11 00:00:00,07:19:00,2012-01-11 00:00:00,09:07:00,Nevada,WECC,Suspected Physical Attack,0,0,2012,,,
2012-01-12 00:00:00,08:26:00,2012-01-12 00:00:00,08:26:00,"Newark, Delaware",RFC,Physical Attack,0,0,2012,,,
2012-01-13 00:00:00,09:20:00,2012-01-13 00:00:00,09:20:00,"Newark, Delaware",RFC,Physical Attack,0,0,2012,,,
2012-01-15 00:00:00,09:35:00,2012-01-15 00:00:00,09:35:00,"Tacoma, Washington",WECC,Vandalism,,,2012,,,
2012-01-17 00:00:00,10:31:00,2012-01-17 00:00:00,17:21:00,"Austin, Texas",TRE,Suspected Cyber Attack,,0,2012,,,
2012-01-19 00:00:00,07:00:00,2012-01-20 00:00:00,15:00:00,"King, Pierce and Thurston Counties, Washington",WECC,Severe Weather - Winter Storm,1600,426000,2012,,,
2012-01-24 00:00:00,11:22:00,2012-01-24 00:00:00,11:22:00,"Tacoma, Washington",WECC,Vandalism,,,2012,,,
2012-01-27 00:00:00,09:40:00,2012-01-27 00:00:00,09:40:00,"Frederickson Substation, Spanaway, Washington",WECC,Vandalism,,,2012,,,
2012-01-29 00:00:00,12:45:00,2012-01-29 00:00:00,12:45:00,"Roosevelt Substation, Tacoma, Washington",WECC,Vandalism,,,2012,,,
February,,,,,,,,,2012,,,
2012-02-11 00:00:00,08:47:00,2012-02-11 00:00:00,10:30:00,"Lamar, Colorado",WECC,Suspected Physical Attack,0,0,2012,,,
2012-02-11 00:00:00,08:55:00,2012-02-11 00:00:00,08:55:00,"Tacoma, Washington",WECC,Suspected Physical Attack,,,2012,,,
2012-02-13 00:00:00,07:02:00,2012-02-13 00:00:00,16:25:00,"Asheville, North Carolina",SERC,Suspected Physical Attack,,,2012,,,
2012-02-14 00:00:00,19:20:00,2012-02-15 00:00:00,16:00:00,"Tacoma, Washington",WECC,Suspected Physical Attack,,,2012,,,
2012-02-15 00:00:00,05:33:00,2012-02-15 00:00:00,17:30:00,"Port Orchard, Washington",WECC,Suspected Physical Attack,0,0,2012,,,
2012-02-17 00:00:00,03:00:00,2012-02-17 00:00:00,11:33:00,"Little Rock, Arkansas",SERC,Suspected Cyber Attack,UNK,UNK,2012,,,
2012-02-19 00:00:00,17:00:00,2012-02-21 00:00:00,07:33:00,"Kentucky, Virginia, West Virginia",SERC,Severe Weather - Winter Storm,UNK,90000,2012,,,
2012-02-23 00:00:00,05:45:00,2012-02-23 00:00:00,15:02:00,"South East College Station, Texas",TRE,Suspected Physical Attack,0,0,2012,,,
2012-02-23 00:00:00,23:12:00,2012-02-24 00:00:00,01:00:00,"Londonderry, New Hampshire",NPCC,Suspected Physical Attack,0,0,2012,,,
2012-02-24 00:00:00,11:24:00,2012-02-24 00:00:00,11:49:00,"Spanaway, Washington",WECC,Suspected Physical Attack,,,2012,,,
2012-02-28 00:00:00,02:59:00,2012-02-28 00:00:00,06:12:00,"Sacramento, California",WECC,Electrical System Separation (Islanding),1,1,2012,,,
2012-02-28 00:00:00,07:00:00,2012-02-28 00:00:00,07:00:00,Coos County Oregon,WECC,Suspected Physical Attack,UNK,UNK,2012,,,
Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,2012,,,
March,,,,,,,,,2012,,,
2012-03-02 00:00:00,12:37:00,2012-03-05 00:00:00,12:01:00,Northern Alabama; Southeast Tennessee,SERC,Severe Weather - Tornadoes ,500,UNK,2012,,,
2012-03-02 00:00:00,13:45:00,2012-03-02 00:00:00,15:30:00,"Piggott, Arkansas",SERC,Operational Failure/Equipment Malfunction,,,2012,,,
2012-03-02 00:00:00,21:00:00,2012-03-05 00:00:00,16:30:00,"Southeastern, Michigan",RFC,Severe Weather - Winter Storm,371,130000,2012,,,
2012-03-02 00:00:00,21:00:00,2012-03-04 00:00:00,17:30:00,"Lower Peninsula, Michigan",RFC,Severe Weather - Winter Storm,50,140000,2012,,,
2012-03-04 00:00:00,01:27:00,2012-03-04 00:00:00,06:58:00,"Prince Georges County, Maryland",RFC,Suspected Physical Attack,,,2012,,,
